seller_id,seller_store_name,supplier_email,password_s,receiving_bank,seller_rating,seller_phone_number,seller_address_street,s_post_code,s_city
13119,Hill LLC,hill llc@gmail.com,pr8RYvGu@M,Santander UK plc,5,7648281532,79588 Lori Lake,DD10,Montrose
23238,"Weber, Adams and Gray",weber- adams and gray@gmail.com,#sH3ETUvT$,NatWest Group plc,2,7142722867,955 Brooks Loop,KA22,Ardrossan
18119,"Rodriguez, Mcgrath and Savage",rodriguez- mcgrath and savage@gmail.com,tTUVWx57#0,Standard Chartered plc,1,7827606219,41345 Baker Rest,KY1,Kirkcaldy
43721,"Anderson, Williams and Mckinney",anderson- williams and mckinney@gmail.com,%c6Ux8sUOE,Santander UK plc,3,756790404,77274 John Rapid,PA19,Gourock
49356,Byrd Group,byrd group@gmail.com,8#439TmnK^,Virgin Money UK plc,3,7484882508,712 Wheeler Landing Suite 660,KA1,Kilmarnock
24908,Jones LLC,jones llc@gmail.com,F6EQ+&F6&f,NatWest Group plc,2,7599102404,4265 Reed Stream Apt. 171,DD1,Dundee
33871,"Mcconnell, Collins and Hart",mcconnell- collins and hart@gmail.com,Xmo$6&Ani$,Lloyds Banking Group plc,2,743974359,000 Fields Canyon Apt. 137,EH8,Edinburgh
42576,Martinez-Delgado,martinez-delgado@gmail.com,%j5XigiHqA,Lloyds Banking Group plc,1,7735833309,887 David Valleys,G2,Glasgow
15697,"Ayers, Strong and Gonzalez",ayers- strong and gonzalez@gmail.com,I(f6Phmv8*,Santander UK plc,5,7807602109,5957 Watson Corner Suite 362,EH1,Edinburgh
15572,Lyons-Turner,lyons-turner@gmail.com,zq#0WK@uW3,Standard Chartered plc,1,7738796319,289 Sanchez Wells Apt. 095,EH8,Edinburgh
16981,Rodriguez-Chen,rodriguez-chen@gmail.com,@cW5Jm5i)8,Tesco Bank,4,7494262637,1965 Shelia Place,ML1,Motherwell
48854,Bell Ltd,bell ltd@gmail.com,(z*7OBfpn#,Co-operative Bank plc,2,7154253352,04864 Andrew Expressway Suite 359,AB22,Aberdeen
45914,Sparks and Sons,sparks and sons@gmail.com,QV(A7GoYA^,NatWest Group plc,4,7335093142,6421 Strickland Squares Suite 018,AB22,Aberdeen
43356,Riley-Rodriguez,riley-rodriguez@gmail.com,&4jJSmHvwf,Tesco Bank,1,79167181,8840 Webb Locks Apt. 145,KA1,Kilmarnock
45021,Daniels LLC,daniels llc@gmail.com,UyMRO5Oq&9,Metro Bank plc,1,7954558669,267 Green Canyon,ML12,Biggar
19168,"Anderson, Williams and Mitchell",anderson- williams and mitchell@gmail.com,bu6kTaNhK%,Barclays plc,2,7110321669,97251 Jessica Greens,DD1,Dundee
12257,White LLC,white llc@gmail.com,Er5YAW7lD_,Barclays plc,5,7878903979,9379 Lauren Fields Suite 565,PA19,Gourock
16353,Osborne Ltd,osborne ltd@gmail.com,Z7N(dscu^c,NatWest Group plc,2,7634862613,598 Stevens Estate,AB22,Aberdeen
49635,Chen PLC,chen plc@gmail.com,$CygBF2zA6,Santander UK plc,1,769292550,42388 Kelley Island,DD1,Dundee
17379,"Mendez, Arellano and Perez",mendez- arellano and perez@gmail.com,!ArY3ZkoU+,Tesco Bank,4,7420260869,196 Garcia Walks,DG6,Castle Douglas
23525,Taylor-Franco,taylor-franco@gmail.com,fb4JaUTuc(,HSBC Holdings plc,5,712823843,5088 Rebecca Tunnel,G2,Glasgow
20450,Edwards PLC,edwards plc@gmail.com,I$1C&qqw$C,Co-operative Bank plc,3,758791920,880 Banks Underpass Suite 798,KA22,Ardrossan
11879,Lucas Group,lucas group@gmail.com,zpT1sDLO_2,HSBC Holdings plc,2,7603453696,50973 Joshua Views Suite 398,EH1,Edinburgh
32487,"Watkins, Hernandez and Henderson",watkins- hernandez and henderson@gmail.com,a!+3(APgX*,HSBC Holdings plc,2,7254241591,6224 Mccullough Divide,KA22,Ardrossan
44009,Walls-Nielsen,walls-nielsen@gmail.com,(8D!%jVpbF,Co-operative Bank plc,2,710151198,340 Brooke Orchard,KY1,Kirkcaldy
43119,Brown-Riley,brown-riley@gmail.com,$*s9(SqvJ@,NatWest Group plc,3,7378088494,9661 Dixon Island Apt. 774,KY7,Glenrothes
18804,Ray Group,ray group@gmail.com,yzO3CRk)&&,Co-operative Bank plc,5,7784990141,9686 Stacy Passage,DG1,Dumfries
29301,Diaz LLC,diaz llc@gmail.com,G7*jXVDd!O,Standard Chartered plc,1,7913177055,77949 Wood Place Apt. 817,ML12,Biggar
42741,Wilson-Turner,wilson-turner@gmail.com,JIX4O1Ppo+,Tesco Bank,2,711082619,32951 Sean Terrace Suite 240,EH8,Edinburgh
11124,"Murphy, Ferguson and Mcgrath",murphy- ferguson and mcgrath@gmail.com,r0B1+Xo!^^,Virgin Money UK plc,2,7555430910,85290 Bridges Crossroad,KY1,Kirkcaldy
